zinc_id,smiles
ZINC000002558676,Oc1cccc(C(F)(F)F)c1Cl
ZINC000021817669,CC1CCC(Nc2ccccn2)CC1
ZINC000022062778,Cc1cnc2[nH]c3ccccc3c2c1
ZINC000033822644,SCc1ccc2ccccc2c1
ZINC000002039318,CC(C)(C)c1cccs1
ZINC000005387312,Cc1ccc2nc(-c3ccco3)[nH]c2c1
ZINC000019841844,CCC(CC)[C@@H](N)c1cccs1
ZINC000019804006,N[C@H](c1ccccc1)C1CCCCC1
ZINC000066325519,Cc1cccc(C(F)(F)F)c1F
ZINC000036338557,c1ccc2c(-c3ccoc3)c[nH]c2c1
ZINC000001231960,Nc1ccc(C2CCCCC2)cc1
ZINC000001257409,Cc1ccc(-c2ccc(C=O)cc2)cc1
ZINC000020439832,Cc1cc(CCl)c(C)s1
ZINC000002168404,CCC/C=C/C(C)(C)C
ZINC000078136891,Cc1ccc(Cl)c(C=O)c1Cl
ZINC000015253565,C[C@H]1CCC[C@@]2(C)CCCC[C@@]12O
ZINC000002034477,Oc1c(Cl)ccc2ccccc12
ZINC000001693375,CCCCN[C@H](C)c1ccccc1
ZINC000095347519,Cc1ccc([N+](=O)[O-])cc1[C@H](C)Cl
ZINC000002038770,CC(C)(C)[C@@H]1CC=CCC1
ZINC000002133741,C[C@H]1CC(C)(C)NCc2ccccc21
ZINC000056874479,CSCCCCCCC/C=N/O
ZINC000044307421,CCCCCCCCCC(=O)CC=O
ZINC000068577094,CC(C)c1c[nH]c(=S)n1C1CC1
ZINC000001847929,C=C1CC=C(C(C)C)CC1
ZINC000032232924,CCCCc1cc(OC)ccc1OC
ZINC000019772232,CCNc1ccc(Cl)cc1Cl
ZINC000000156562,CC(=O)/C=C/c1c(F)cccc1Cl
ZINC000000162139,Cc1cc2ccccc2nc1Cl
ZINC000001665023,C=CCOC(=O)CCCCCCC
ZINC000064624285,C1=Cc2ccccc2C=CC1
ZINC000100032829,CC(C)(C)C(=O)/C=C(\O)C(C)(C)C
ZINC000000388360,COc1cccc(Cl)c1Cl
ZINC000001722060,O=C1CCCCCC12CCCCC2
ZINC000003129850,CC(=O)c1ccc2cccc3c2c1CC3
ZINC000036432743,O=C(CC1CCCC1)c1ccccc1
ZINC000001606158,CCC[C@@H](C)[C@H](C)CC
ZINC000001617604,Cc1ccc(Oc2ccccc2N)cc1
ZINC000012370403,Cc1cc(N=C=O)c(-c2ccccc2)o1
ZINC000001504261,O=C(Cc1ccccc1)c1ccccc1
ZINC000001561920,Cc1cc2ccccc2s1
ZINC000001699551,CCC[C@@H](C)C(C)C
ZINC000001586756,CCCCc1ccccc1
ZINC000026422995,S=c1[nH]ccn1C1CCCCC1
ZINC000057218777,FC(F)(F)C1CCCCC1
ZINC000034380943,ClCc1cnc(Cl)c(Cl)c1
ZINC000002598931,Nc1cc(Cl)cc(Cl)c1Cl
ZINC000002566249,CCC[C@@H](C#N)c1ccccc1
ZINC000000050695,c1cncc(-c2cc3ccccc3[nH]2)c1
ZINC000000001932,c1ccc(-c2nc3ccccc3[nH]2)cc1
ZINC000036928141,[N-]=[N+]=Nc1ccccc1Br
ZINC000036928116,CCc1ccccc1N=[N+]=[N-]
ZINC000000294925,Cc1nc2cc(Cl)ccc2s1
ZINC000032208636,Cc1cncc(-c2ccccc2)c1
ZINC000001641048,CCCCCC[C@H](O)CCC
ZINC000000141317,Cc1n[nH]cc1-c1ccc(Cl)cc1
